Алексеева Ульяна Платоновна
Аникина Алиса Михайловна
Антипов Леонид Даниилович
Антонова Арина Михайловна
Беляев Кирилл Дмитриевич
Беляева Анна Данииловна
Березин Макар Саввич
Бирюков Виктор Алексеевич
Бобров Александр Алексеевич
Богомолова Анна Маратовна
Болдырев Никита Александрович
Булгаков Максим Михайлович
Васильева Полина Кирилловна
Виноградов Даниил Алексеевич
Виноградова София Тимофеевна
Волков Мирон Савельевич
Галкин Никита Владиславович
Галкина Ярослава Артёмовна
Головина Анастасия Степановна
Гончарова Полина Игоревна
Горбунова Александра Тимофеевна
Горшкова Василиса Робертовна
Грачев Александр Михайлович
Данилов Руслан Львович
Ермакова Полина Андреевна
Шабаев Захар Николаевич
Фадеев Илья Александрович
